Name,Alternate Names,Type,Industry,Derived From,Invented By,Invented For,Year,Country,Digits,Uppercase,Lowercase,Others,Unicode,Error Correction,Identifier,Identifier Modifiers,ZXing,Zint,BWIPP,ZPL,Popularity,Image,Patent,Trademark,Wikipedia,Specification Name,Specification Link,ISO
2D PharmaCode?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Stack Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-bit Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-bit Decimal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-M Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ames Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrayTag (Array Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-10 Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-4 (5) Decimal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-6 Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asimov Matrix Code*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AugTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
"Aztec Code, Small",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Mesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Rune?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baudot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCD Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeTagg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell & Howell (Smudge Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi-Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilgutay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle Identification Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Post (4 state),,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Royal Mail 4-State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull's-Eye Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumpy Barcode?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calra Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Postal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casio Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPNet (Brazil ? same as postnet?),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Code Stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charecogn ? Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charecogn (Sunburst, Wagon Wheel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charecogn Code Reading System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Post (Datalogic 2 of 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIAS BCB (Binary coded Binary),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIAS Casino Chip Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codabar (Rationalized) (Code 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codabar (Traditional) (Code 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Codablock (F, E, A, N)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 1 (Code One),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Code 128 (subsets A, B and C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Code 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 16k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 1-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 3 of 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 32 (Italian Pharmacode),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Code 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coded Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogni-Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Bar Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Construct Code (Color C Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
